step,id,x,y,z
6,65,0.499383,0.490775,0.515269
6,66,0.489222,0.480641,0.492993
6,67,0.496274,0.49732,0.493112
6,68,0.499082,0.51428,0.511574
6,69,0.500631,0.481412,0.504597
6,70,0.495387,0.500617,0.498328
6,71,0.491539,0.519796,0.498093
6,72,0.493997,0.495165,0.506501
6,73,0.49932,0.4999,0.507219
6,74,0.494085,0.496,0.499038
6,75,0.509302,0.505132,0.501258
6,76,0.501756,0.503116,0.506918
6,77,0.48934,0.506724,0.494753
6,78,0.504843,0.497664,0.502416
6,79,0.499619,0.506307,0.499127
6,80,0.492615,0.498963,0.49667
6,81,0.496625,0.488923,0.498676
6,82,0.487481,0.482281,0.506347
6,83,0.511982,0.50149,0.499323
6,84,0.502293,0.49709,0.494117
6,85,0.505036,0.497045,0.493323
6,86,0.50075,0.499572,0.49783
6,87,0.498979,0.494629,0.503822
6,88,0.510626,0.50206,0.499036
6,89,0.494983,0.494331,0.492202
6,90,0.512066,0.50764,0.501465
6,91,0.481618,0.496243,0.512938
6,92,0.498086,0.46159,0.536507
6,93,0.501812,0.50462,0.502569
6,94,0.591182,0.512079,0.521727
6,95,0.504604,0.504893,0.495407
6,96,0.505763,0.496198,0.501612
6,97,0.488006,0.504537,0.501277
6,98,0.507734,0.495234,0.495226
6,99,0.51168,0.498648,0.506129
7,0,0.498752,0.508229,0.519977
7,1,0.506346,0.489708,0.503823
7,2,0.506616,0.495399,0.49749
7,3,0.500754,0.500181,0.501645
7,4,0.505737,0.49611,0.505275
7,5,0.485102,0.536939,0.538497
7,6,0.492284,0.493185,0.499628
7,7,0.504916,0.498327,0.497813
7,8,0.494735,0.500341,0.498554
7,9,0.496512,0.48644,0.491783
7,10,0.50074,0.509942,0.498091
7,11,0.496065,0.49118,0.500636
7,12,0.501635,0.508844,0.502046
7,13,0.50012,0.499735,0.499211
7,14,0.530462,0.533478,0.510035
7,15,0.495092,0.507511,0.472467
7,16,0.49786,0.495329,0.501217
7,17,0.499424,0.491421,0.503271
7,18,0.490704,0.507989,0.499941
7,19,0.496364,0.49711,0.500544
7,20,0.496567,0.48859,0.487395
7,21,0.491121,0.498752,0.51467
7,22,0.505452,0.49595,0.502823
7,23,0.492494,0.512538,0.491952
7,24,0.487395,0.502222,0.494874
7,25,0.493903,0.490629,0.498372
7,26,0.491184,0.504871,0.491754
7,27,0.494206,0.48032,0.510785
7,28,0.501117,0.497702,0.505165
7,29,0.505207,0.50757,0.512697
7,30,0.505272,0.494739,0.50094
7,31,0.499997,0.502733,0.49195
7,32,0.529061,0.51519,0.531937
7,33,0.498015,0.517922,0.511831
